Source,Feedstock Name,DM,VS of DM,Biogas Yield VS,Biogas Yield DM,Biogas Yield Input,% CH4,CH4 Yield Input,Crop/Residue/Waste/Other,Density ,L/S,COD ,BOD,Total N,Am N ,Total P,Sol P ,Solid P,Total K ,,Total P205,Solid P205,Sol P205
Unit,Name,%,%, (NM3/Tonne VS), NM3/Tonne DM),(NM3/T input),%, (NM3/T VS),, (T/M3),, (kg / T input), (kg / T input), (g/T Input), (g/T Input, (kg / T input), (kg / T input), (kg / T input), (kg / T input),,,,
Whittick OOT Calc 2023,Poultry Litter ,0.48,0.885,,,,,,W,,S,509760,85129.92,37.5,5.84,6.3898,0.95847,5.43133,22.54,,,,
Whittick OOT Calc 2023,Apple Pommace,0.24,0.938,,,,,,W,,L,270144,45114.048,3,,2,0.3,1.7,10,,,,
Whittick OOT Calc 2023,Maize Silage,0.35,0.95,,,,,,W,,S,399000,66633,5.3,,1.52,0.228,1.292,6.34,,,,
Whittick OOT Calc 2023,Rye,0.37,0.95,,,,,,C,,S,421800,70440.6,5.3,,1.52,0.228,1.292,6.34,,,,
Whittick OOT Calc 2023,Recirc,0.07,1,,,,,,O,,L,84000,14028,0,,0,0,0,0,,,,
Edner Supplied 2025,Cow Slurry,0.08,0.8,350,,,0.6,,W,1,L,,,,,,,,,,,,
Edner Supplied 2025,FYM,0.3,0.8,450,,,0.58,,W,0.6,S,,,,,,,,,,,,
Edner Supplied 2025,Poultry Litter ,0.4,0.75,490,,,0.6,,W,0.8,S,,,,,,,,,,,,
Edner Supplied 2025,Rape Straw,0.89,0.85,267,,,0.57,,R,0.7,S,,,,,,,,,,,,
Edner Supplied 2025,DAF Sludges,0.2,0.9,500,,,0.55,,W,0.8,L,,,,,,,,,,,,
Edner Supplied 2025,Maize,0.27,0.91,665,,,0.54,,C,0.7,S,,,,,,,,,,,,
Host - Edner 2025,Cow Slurry,0.9,0.8,348,,,0.57,,W,,L,,,3.6,,,,,,,,,
Host - Edner 2025,FYM,0.3,0.833,249,,,0.57,,W,,S,,,8,,,,,,,,,
Host - Edner 2025,Poultry Litter ,0.35,0.7,446,,,0.57,,W,,S,,,14,,,,,,,,,
Host - Edner 2025,Rye,0.35,0.9,610,,,0.52,,C,,S,,,3.8,,,,,,,,,
Host - Edner 2025,Triticale,0.35,0.9,649,,,0.52,,C,,S,,,3.8,,,,,,,,,
Host - Edner 2025,DAF Sludges,0.08,0.875,686,,,0.6,,W,,L,,,2,,,,,,,,,
Welltech - Edner 2025,Cow Slurry,0.08,,,,19,0.55,,W,,L,,,,,,,,,,,,
Welltech - Edner 2025,FYM,0.3,,,,83.21,0.53,,W,,S,,,,,,,,,,,,
Welltech - Edner 2025,Poultry Litter ,0.4,,,,100.1,0.6,,W,,S,,,,,,,,,,,,
Welltech - Edner 2025,Rape Straw,0.89,,,,208.56,0.52,,R,,S,,,,,,,,,,,,
Welltech - Edner 2025,DAF Sludges,0.2,,,,180,0.68,,W,,L,,,,,,,,,,,,
Welltech - Edner 2025,Whole Crop. RT,0.27,,,,125.47,0.52,,C,,S,,,,,,,,,,,,
Envitech - Edner 2025,Maize Silage,0.27,0.95,,,,,328.6,C,,,,,15,11.89,,,,,,,,
Envitech - Edner 2025,Poultry Litter ,0.4,0.75,,,,,209.6,W,,,,,40,19.11,,,,,,,,
Envitech - Edner 2025,Slurry,0.08,0.8,,,,,167.2,W,,,,,50,19.05,,,,,,,,
Envitech - Edner 2025,FYM,0.3,0.85,,,,,238.5,W,,,,,25,14.39,,,,,,,,
Envitech - Edner 2025,DAF Sludges,0.2,0.95,,,,,564.1,W,,,,,15,13.92,,,,,,,,
Envitech - Edner 2025,Recirc,0.6,0.65,,,,,0,R,,,,,90,52.83,,,,,,,,
-,Water,0,0,0,0,0,0,0,O,1,L,0,0,0,0,0,0,0,0,,,,
